EmployeeID,Tenure,Salary,PerformanceScore,Department,JobRole,Layoff
86,5,31062,1,Finance,Developer,0
87,10,114076,2,Engineering,Executive,1
88,7,119780,2,HR,Developer,0
89,9,51545,2,Finance,Manager,1
90,7,51689,4,Engineering,Consultant,0
91,9,41174,3,HR,Developer,0
92,8,118461,4,HR,Developer,0
93,12,39348,1,Finance,Manager,0
94,2,53714,4,Marketing,Analyst,0
95,1,68102,1,HR,Executive,0
96,16,104460,4,HR,Analyst,0
97,5,119930,3,Engineering,Consultant,0
98,3,36801,1,Sales,Developer,1
99,12,102267,2,Finance,Manager,0
100,8,78136,2,Finance,Manager,0
101,3,53625,4,Marketing,Executive,0
102,1,112873,2,Marketing,Analyst,0
103,3,102592,1,Finance,Executive,0
104,5,107052,2,Marketing,Developer,0
105,15,74261,3,Engineering,Executive,0
106,14,31542,3,Finance,Manager,0
107,3,51677,4,Marketing,Manager,0
108,1,76732,1,Finance,Consultant,0
109,5,80343,3,Sales,Consultant,1
110,14,69081,3,HR,Developer,0
111,7,92856,1,Finance,Analyst,0
112,9,118858,2,HR,Executive,0
113,15,49065,2,Marketing,Developer,0
114,15,113460,4,HR,Consultant,0
115,10,118092,2,Finance,Executive,0
116,13,84693,1,Sales,Consultant,1
117,19,56962,3,Marketing,Executive,0
118,7,58295,2,Finance,Analyst,0
119,17,43807,4,Marketing,Developer,0
120,4,72348,2,Engineering,Executive,0
121,5,56432,1,HR,Manager,0
122,7,113285,4,Engineering,Manager,0
123,13,87854,2,Finance,Executive,0
124,15,70262,4,Sales,Executive,1
125,11,67080,1,Marketing,Executive,0
126,4,31324,3,HR,Manager,0
127,13,65909,1,Marketing,Manager,0
128,7,119339,1,Finance,Executive,0
129,19,49870,1,Marketing,Consultant,0
130,2,64578,1,HR,Consultant,0
131,10,102124,3,Finance,Analyst,0
132,13,56790,3,Marketing,Developer,1
133,6,55289,4,Sales,Consultant,0
134,12,85129,2,Finance,Manager,0
135,12,45485,3,Finance,Consultant,1
136,11,74482,3,Sales,Analyst,0
137,7,116188,2,Engineering,Analyst,0
138,1,34748,3,HR,Developer,0
139,1,116769,1,Engineering,Consultant,0
140,13,39435,1,Marketing,Manager,0
141,9,33709,2,Sales,Manager,1
142,3,60355,4,Engineering,Executive,0
143,7,85771,4,Finance,Manager,0
144,6,87799,2,Marketing,Developer,0
145,8,43116,2,Marketing,Developer,0
146,9,55470,1,Engineering,Manager,0
147,5,72344,4,Engineering,Manager,0
148,1,72918,3,Sales,Executive,1
149,19,82224,1,HR,Manager,0
150,10,69298,2,Engineering,Executive,0
151,12,110219,4,Engineering,Executive,0
152,15,91629,3,Finance,Manager,0
153,9,96040,3,Marketing,Analyst,0
154,17,58016,1,HR,Analyst,0
155,17,53960,4,Finance,Executive,1
156,12,63591,4,Sales,Manager,0
157,7,112848,2,Sales,Analyst,0
158,2,97641,4,Engineering,Manager,1
159,3,66395,4,Engineering,Manager,1
160,17,52700,1,Sales,Manager,0
161,5,64620,4,Engineering,Consultant,0
162,17,50559,3,HR,Manager,0
163,17,91642,1,Engineering,Consultant,1
164,17,106539,1,Marketing,Executive,1
165,2,51732,2,Engineering,Analyst,0
166,2,60354,4,Finance,Analyst,1
167,5,43843,2,HR,Analyst,0
168,1,101726,3,Finance,Analyst,0
169,1,47640,1,Finance,Analyst,0
170,19,82528,1,Marketing,Analyst,1
171,2,68413,1,HR,Analyst,0
172,12,82638,3,HR,Executive,1
173,6,82736,3,HR,Manager,1
174,4,98866,2,HR,Developer,0
175,11,49087,2,HR,Consultant,0
176,17,71430,2,Marketing,Developer,0
177,6,54504,4,Engineering,Developer,0
178,5,37114,1,Finance,Manager,0
179,2,108859,1,HR,Manager,0
180,6,40975,2,Engineering,Manager,1
181,11,41023,1,Engineering,Analyst,0
182,16,51447,2,Finance,Executive,0
183,16,53959,4,Marketing,Analyst,0
184,1,96203,4,Sales,Executive,0
185,9,59703,3,Sales,Executive,0
186,6,39337,4,Engineering,Developer,0
187,16,76427,2,Finance,Developer,1
188,3,91529,4,Sales,Executive,0
189,4,114665,3,Engineering,Executive,1
190,19,61921,1,Marketing,Analyst,1
191,3,63307,2,Sales,Analyst,0
192,19,57355,1,Engineering,Developer,1
193,7,34835,3,Engineering,Manager,0
194,9,50159,3,HR,Executive,1
195,1,77605,3,Marketing,Analyst,0
196,8,68088,1,HR,Developer,1
197,7,108752,1,Finance,Analyst,1
198,18,85284,1,HR,Executive,1
199,8,87043,1,HR,Executive,1
200,1,65547,3,Sales,Consultant,0
201,11,112844,3,Engineering,Manager,0
202,18,57532,2,Marketing,Consultant,0
203,10,64349,2,HR,Developer,0
204,3,75445,1,Marketing,Analyst,0
205,7,35713,4,HR,Developer,0
206,16,86178,4,Finance,Executive,1
207,16,79407,3,HR,Consultant,0
208,17,100340,3,Sales,Consultant,1
209,2,80990,3,Engineering,Consultant,0
210,1,105672,2,Finance,Developer,1
211,16,95545,2,HR,Executive,1
212,12,114791,3,Marketing,Analyst,0
213,5,88141,3,Finance,Analyst,0
214,5,53793,3,Finance,Developer,1
215,9,86570,4,HR,Consultant,0
216,9,67892,2,Finance,Manager,0
217,3,31015,4,Marketing,Developer,0
218,19,91813,4,Finance,Developer,0
219,16,57712,3,Marketing,Executive,0
220,16,38415,3,HR,Analyst,0
221,3,92292,1,Engineering,Developer,0
222,1,53833,1,Finance,Developer,0
223,11,34158,4,Engineering,Consultant,1
224,17,92680,2,Marketing,Consultant,0
225,8,50309,3,Finance,Manager,1
226,4,36970,3,Sales,Executive,0
227,6,102474,4,Engineering,Manager,0
228,8,116704,1,Finance,Consultant,0
229,3,76540,2,Engineering,Analyst,0
230,16,50384,1,Finance,Consultant,0
231,3,48017,1,HR,Executive,0
232,18,105880,1,Engineering,Consultant,0
233,14,38702,1,Sales,Executive,0
234,18,30384,3,Sales,Executive,0
235,2,30404,3,Marketing,Executive,0
236,3,70943,1,Finance,Executive,0
237,16,77926,2,Engineering,Executive,1
238,9,59189,4,Marketing,Analyst,0
239,4,42763,2,Engineering,Manager,0
240,1,48384,2,Finance,Developer,1
241,4,90100,2,Sales,Manager,0
242,1,39860,1,HR,Executive,0
243,14,110642,3,Sales,Analyst,1
244,16,80612,2,Marketing,Consultant,0
245,8,53574,1,HR,Analyst,0
246,7,53524,2,Marketing,Executive,0
247,3,99172,2,Finance,Analyst,0
248,17,40916,1,HR,Analyst,0
249,1,34809,3,Marketing,Executive,0
250,16,62201,3,Finance,Analyst,0
251,12,83330,4,Sales,Developer,0
252,19,43456,1,Finance,Developer,1
253,14,86397,4,Engineering,Analyst,1
254,6,68765,4,Finance,Consultant,0
255,6,64816,4,Finance,Executive,0
256,13,75106,3,Engineering,Developer,0
257,19,83932,1,Marketing,Consultant,0
258,8,47100,4,Marketing,Analyst,0
259,2,87091,1,Finance,Consultant,0
260,1,51949,1,Engineering,Manager,1
261,15,100080,3,Engineering,Developer,0
262,1,67744,4,Sales,Analyst,0
263,5,75543,4,Marketing,Executive,0
264,16,66187,1,HR,Analyst,0
265,19,37239,2,Marketing,Executive,1
266,4,44489,3,Marketing,Analyst,0
267,3,88017,3,Sales,Consultant,1
268,17,91877,3,HR,Consultant,0
269,17,73125,3,Sales,Consultant,0
270,12,79922,4,HR,Manager,0
271,14,62049,4,Finance,Executive,0
272,6,67131,2,HR,Consultant,0
273,3,72944,3,Sales,Manager,1
274,9,103963,3,Marketing,Executive,0
275,5,54285,1,HR,Analyst,0
276,17,67626,4,HR,Manager,0
277,14,72808,3,Engineering,Developer,0
278,3,118464,2,Marketing,Manager,0
279,1,83871,2,Finance,Manager,1
280,1,49198,4,Sales,Executive,1
281,3,49758,2,Finance,Analyst,1
282,18,45254,2,Marketing,Developer,0
283,10,74238,4,HR,Consultant,0
284,3,31252,3,HR,Consultant,0
285,8,69764,3,Marketing,Manager,0
286,14,107709,2,HR,Executive,1
287,18,67441,2,HR,Executive,0
288,15,83682,3,HR,Consultant,0
289,2,89494,4,Sales,Developer,0
290,10,111317,2,Sales,Analyst,0
291,2,95215,1,Engineering,Developer,0
292,17,108587,4,Finance,Analyst,0
293,8,36949,2,Marketing,Consultant,0
294,1,85393,2,Marketing,Analyst,0
295,9,103553,1,Marketing,Executive,0
296,11,36941,1,Engineering,Manager,1
297,16,55934,3,Sales,Manager,1
298,7,53386,4,Engineering,Consultant,1
299,10,91886,4,Marketing,Executive,1
300,3,105745,3,Finance,Developer,0
301,18,113251,4,HR,Executive,0
302,13,83413,4,Sales,Manager,0
303,7,86800,4,Sales,Manager,0
304,4,72318,4,Engineering,Executive,1
305,13,100173,4,Sales,Executive,0
306,1,100390,1,Marketing,Manager,1
307,8,82329,4,Marketing,Developer,0
308,14,73088,1,Engineering,Consultant,0
309,16,69811,4,Marketing,Consultant,0
310,14,85479,3,Finance,Executive,1
311,12,115392,2,Engineering,Consultant,0
312,19,117369,1,Finance,Manager,0
313,15,49963,4,HR,Manager,0
314,2,85123,3,Finance,Executive,0
315,2,103477,2,HR,Executive,0
316,19,44388,1,HR,Executive,0
317,17,35569,2,Finance,Developer,0
318,10,99836,3,Engineering,Consultant,0
319,6,66586,1,Marketing,Executive,0
320,15,42015,2,Marketing,Analyst,0
321,11,75002,4,HR,Analyst,0
322,5,36254,1,HR,Manager,0
323,1,47144,2,Engineering,Consultant,0
324,8,54214,3,Sales,Executive,0
325,12,110719,3,Finance,Analyst,1
326,12,101774,1,HR,Consultant,0
327,5,36090,2,Marketing,Manager,0
328,7,41637,1,Engineering,Developer,0
329,4,52415,1,Finance,Consultant,0
330,6,54071,2,Engineering,Consultant,1
331,13,88243,2,Finance,Developer,0
332,15,71240,4,Finance,Consultant,0
333,3,113807,2,HR,Manager,0
334,8,63434,3,Engineering,Manager,0
335,16,99724,1,Engineering,Developer,0
336,13,105697,1,Marketing,Executive,1
337,18,58732,3,Marketing,Analyst,0
338,10,41314,2,HR,Executive,0
339,19,53954,3,HR,Consultant,0
340,17,87108,3,Sales,Analyst,1
341,19,117044,4,Marketing,Developer,0
342,5,117505,3,Finance,Developer,1
343,9,66668,1,Engineering,Analyst,0
344,12,53061,3,HR,Manager,0
345,1,109252,1,Engineering,Analyst,0
346,1,69749,1,Engineering,Consultant,0
347,15,46907,1,Sales,Manager,0
348,2,48777,2,Marketing,Developer,1
349,16,81745,4,HR,Analyst,0
350,8,111818,1,Engineering,Executive,0
351,13,53624,1,HR,Executive,0
352,1,53321,2,Finance,Consultant,1
353,16,40488,1,Sales,Executive,1
354,7,52574,3,Finance,Analyst,0
355,5,35240,3,HR,Analyst,1
356,3,73221,4,HR,Executive,0
357,12,40478,1,Marketing,Analyst,0
358,16,85645,2,Engineering,Consultant,0
359,19,49262,3,Engineering,Manager,1
360,5,82796,2,Finance,Consultant,0
361,14,34432,2,Sales,Consultant,0
362,5,94291,3,Engineering,Analyst,0
363,15,109104,2,Marketing,Manager,1
364,17,89399,3,Finance,Analyst,0
365,14,109714,2,Finance,Developer,0
366,5,80428,3,Marketing,Analyst,0
367,12,117731,1,Sales,Analyst,0
368,16,30302,4,Marketing,Analyst,0
369,16,112558,3,Sales,Manager,1
370,7,30055,3,Marketing,Analyst,0
371,4,38717,4,Marketing,Manager,0
372,1,58699,3,HR,Executive,0
373,5,103686,3,Finance,Developer,1
374,10,97661,2,Marketing,Manager,0
375,5,74247,4,Marketing,Executive,0
376,4,46748,1,Engineering,Manager,1
377,2,34621,3,Finance,Manager,1
378,10,45034,4,Engineering,Developer,1
379,19,35126,2,Finance,Consultant,1
380,1,35122,1,Engineering,Consultant,0
381,5,48030,4,Marketing,Manager,1
382,13,112838,1,Marketing,Analyst,0
383,4,114717,1,HR,Executive,1
384,16,85658,1,Engineering,Analyst,0
385,16,68638,3,Sales,Analyst,1
386,2,97067,3,HR,Manager,0
387,17,118869,2,Engineering,Manager,0
388,12,64674,2,Engineering,Manager,0
389,18,65854,4,HR,Manager,1
390,3,76271,2,Marketing,Consultant,1
391,1,103688,1,Engineering,Manager,0
392,1,68518,1,Marketing,Consultant,0
393,19,40267,3,HR,Consultant,0
394,11,31062,1,Marketing,Manager,0
395,5,80448,4,Finance,Developer,1
396,12,36229,1,Sales,Executive,0
397,3,86793,1,Engineering,Analyst,0
398,1,77915,4,Sales,Consultant,1
399,1,34632,2,Marketing,Executive,0
400,8,33596,2,Engineering,Developer,0
